item_order,entr,pos_entr,neg_entr,perplexity,pos_perplexity,neg_perplexity
1,-0.9969914888515857,-0.961261042204893,-1.0403579413679267,1.9958336635855287,1.9470110099196687,2.0567378791255027
2,-0.9296313228163292,-1.4024948999098794,-0.6889421958308065,1.9047891696805392,2.643583506652398,1.6121010699657718
3,-0.7524370604719854,-1.8412625164069911,-0.47418833444760383,1.684636185791786,3.5832346354046165,1.3891364666534003
4,-0.5794667454189323,-2.287611148673283,-0.33429906797118963,1.4942968187136556,4.8824698953384225,1.260764718652977
5,-0.4299347442846716,-2.7219869626837467,-0.23876522122639746,1.3471726404237947,6.597808765671531,1.1799823018216293
6,-0.31525588618958283,-3.1731772685688724,-0.17213225648783093,1.2442323192220237,9.020311583700522,1.1267225140344492
7,-0.22818467067307532,-3.6134744192787958,-0.12487868698130221,1.171360110351308,12.239514432483912,1.0904160381496002
8,-0.16655093694403436,-4.0425222290302925,-0.09101223367650602,1.1223720105621409,16.478605207021186,1.0651172352706206
9,-0.11705767217860626,-4.472149596982673,-0.0665969785000122,1.084520762028021,22.194796825787794,1.0472435353834957
10,-0.08164661382003718,-4.941813756477793,-0.04884063206237303,1.0582251523200419,30.73506767227338,1.0344333060804534
