item_order,entr,pos_entr,neg_entr,perplexity,pos_perplexity,neg_perplexity
1,-5.464592031698149,-9.965784284663854,-0.0014434168696691044,44.157666546262455,1000.0000000012251,1.0010010010010013
2,-2.029188379978433,-5.969494671731938,-0.023559426175352484,4.0817515771187765,62.66094714780724,1.0164642155024346
3,-1.2187054978457275,-5.8903602093755945,-0.024866793190595732,2.3273779248851976,59.31644413011542,1.0173857505816746
4,-1.2344079877156298,-9.8236712997588,-0.0016025333355525733,2.352847781354892,906.190966991249,1.001111408620619
5,-0.767861196620481,-9.956812437916206,-0.001453078994204816,1.7027435846623629,993.8004865025794,1.001007705001809
6,-0.3257157394403008,-6.50554041801872,-0.016232440014384276,1.2532860556383139,90.85792282214662,1.011315005885491
7,-0.2814070863190268,-9.434847702060468,-0.0020793899636836312,1.2153796881041234,692.1052806378592,1.0014423624962432
8,-0.19182812383692383,-9.960343775301164,-0.001449777468122964,1.1422101609890543,996.2360278445319,1.001005414254859
9,-0.11381146843476554,-9.794308199436772,-0.0016474570581874158,1.082083228516507,887.9337319053259,1.0011425824655353
10,-0.0670448799392549,-9.745270692340743,-0.0017171473472064852,1.0475687147830444,858.2598457731535,1.001190944454113
